animal_type,intake_condition,intake_type,sex_upon_intake,age_upon_intake_(years),intake_number,time_in_shelter_days,sex_upon_outcome,age_upon_outcome_(years),outcome_number,outcome_type
Dog,Normal,Euthanasia Request,Spayed Female,13,1,0.045138889,Spayed Female,13,1,Euthanasia
Dog,Normal,Stray,Neutered Male,12,1,6.709027778,Neutered Male,12,1,Euthanasia
Dog,Normal,Stray,Spayed Female,11,1,2.755555556,Spayed Female,11,1,Relocate
Cat,Sick,Owner Surrender,Spayed Female,14,1,5.841666667,Spayed Female,14,1,Transfer
Dog,Normal,Stray,Neutered Male,11,1,0.3375,Neutered Male,11,1,Return to Owner
Cat,Normal,Public Assist,Spayed Female,14,1,10.78125,Spayed Female,14,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,9.055555556,Neutered Male,12,1,Euthanasia
Dog,Normal,Owner Surrender,Neutered Male,12,1,146.9645833,Neutered Male,12,1,Adoption
Cat,Normal,Owner Surrender,Neutered Male,13,1,5.071527778,Neutered Male,13,1,Adoption
Cat,Normal,Stray,Neutered Male,12,2,37.13888889,Neutered Male,12,2,Relocate
Dog,Sick,Owner Surrender,Spayed Female,13,1,0.299305556,Spayed Female,13,1,Euthanasia
Dog,Normal,Stray,Neutered Male,11,1,1.008333333,Neutered Male,11,1,Return to Owner
Dog,Normal,Stray,Neutered Male,17,1,0.827777778,Neutered Male,17,1,Return to Owner
Dog,Normal,Stray,Spayed Female,14,1,0.05,Spayed Female,14,1,Return to Owner
Dog,Aged,Stray,Spayed Female,13,2,0.40625,Spayed Female,13,2,Return to Owner
Cat,Injured,Stray,Spayed Female,12,1,0.229861111,Spayed Female,12,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,11,1,10.93819444,Spayed Female,11,1,Died
Dog,Normal,Public Assist,Neutered Male,15,1,3.472222222,Neutered Male,15,1,Return to Owner
Cat,Normal,Stray,Spayed Female,12,1,1.933333333,Spayed Female,12,1,Return to Owner
Cat,Injured,Stray,Spayed Female,15,1,5.815277778,Spayed Female,15,1,Rto-Adopt
Cat,Sick,Stray,Neutered Male,15,1,0.810416667,Neutered Male,15,1,Return to Owner
Dog,Normal,Stray,Spayed Female,12,1,0.065277778,Spayed Female,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,0.752777778,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,11,1,0.186805556,Neutered Male,11,1,Return to Owner
Cat,Normal,Stray,Spayed Female,12,1,174.1895833,Spayed Female,12,1,Relocate
Dog,Aged,Stray,Neutered Male,15,1,0.324305556,Neutered Male,15,1,Return to Owner
Dog,Normal,Stray,Spayed Female,18,1,0.888194444,Spayed Female,18,1,Return to Owner
Dog,Sick,Euthanasia Request,Spayed Female,13,1,0.052083333,Spayed Female,13,1,Euthanasia
Cat,Aged,Stray,Spayed Female,13,1,51.17916667,Spayed Female,13,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,10,1,147.8423611,Spayed Female,11,1,Adoption
Dog,Normal,Stray,Neutered Male,16,1,7.938888889,Neutered Male,16,1,Transfer
Cat,Injured,Stray,Neutered Male,13,1,0.229166667,Neutered Male,13,1,Return to Owner
Cat,Normal,Stray,Neutered Male,13,2,8.065972222,Neutered Male,13,2,Adoption
Dog,Normal,Stray,Spayed Female,11,1,0.664583333,Spayed Female,11,1,Return to Owner
Dog,Aged,Owner Surrender,Spayed Female,12,1,3.172916667,Spayed Female,12,1,Euthanasia
Dog,Normal,Stray,Spayed Female,13,1,0.079166667,Spayed Female,13,1,Return to Owner
Dog,Aged,Stray,Spayed Female,14,1,0.799305556,Spayed Female,14,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,14,1,4.141666667,Neutered Male,14,1,Return to Owner
Dog,Normal,Stray,Neutered Male,13,2,2.864583333,Neutered Male,13,2,Return to Owner
Dog,Normal,Stray,Spayed Female,13,1,11.05208333,Spayed Female,13,1,Euthanasia
Cat,Normal,Owner Surrender,Neutered Male,12,1,21.16180556,Neutered Male,12,1,Adoption
Dog,Normal,Stray,Spayed Female,14,1,0.913888889,Spayed Female,14,1,Return to Owner
Dog,Normal,Stray,Spayed Female,14,1,0.284027778,Spayed Female,14,1,Return to Owner
Dog,Normal,Stray,Intact Male,13,1,2.027083333,Intact Male,13,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,11,1,4.996527778,Spayed Female,11,1,Return to Owner
Dog,Aged,Stray,Neutered Male,13,1,0.097916667,Neutered Male,13,1,Return to Owner
Cat,Other,Stray,Neutered Male,12,1,0.891666667,Neutered Male,12,1,Return to Owner
Dog,Aged,Stray,Neutered Male,16,1,0.458333333,Neutered Male,16,1,Return to Owner
Cat,Injured,Stray,Neutered Male,13,1,30.13958333,Neutered Male,13,1,Died
Dog,Normal,Stray,Spayed Female,15,1,0.10625,Spayed Female,15,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,13,1,7.022222222,Neutered Male,13,1,Return to Owner
Cat,Normal,Stray,Neutered Male,13,1,25.77569444,Neutered Male,13,1,Euthanasia
Cat,Normal,Owner Surrender,Neutered Male,12,2,48.09791667,Neutered Male,12,2,Adoption
Dog,Aged,Euthanasia Request,Neutered Male,14,1,0.01875,Neutered Male,14,1,Euthanasia
Dog,Aged,Stray,Spayed Female,14,1,2.231944444,Spayed Female,14,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,10,1,57.15,Spayed Female,10,1,Adoption
Cat,Normal,Stray,Neutered Male,16,1,0.876388889,Neutered Male,16,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,0.060416667,Neutered Male,12,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,11,2,7.958333333,Neutered Male,11,2,Return to Owner
Cat,Normal,Stray,Spayed Female,12,1,0.741666667,Spayed Female,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,11,1,0.292361111,Neutered Male,11,1,Return to Owner
Dog,Normal,Stray,Spayed Female,12,1,7.559722222,Spayed Female,12,1,Euthanasia
Cat,Normal,Stray,Spayed Female,14,1,1.054861111,Spayed Female,14,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,0.608333333,Neutered Male,10,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,14,1,3.472222222,Spayed Female,14,1,Return to Owner
Dog,Normal,Euthanasia Request,Neutered Male,17,1,4.018055556,Neutered Male,17,1,Relocate
Dog,Normal,Stray,Neutered Male,16,2,1.208333333,Neutered Male,16,2,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,2.075,Spayed Female,10,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,15,1,10.02916667,Spayed Female,15,1,Return to Owner
Dog,Normal,Stray,Neutered Male,14,1,0.150694444,Neutered Male,14,1,Return to Owner
Dog,Normal,Stray,Neutered Male,15,1,10.025,Neutered Male,15,1,Return to Owner
Dog,Normal,Stray,Intact Male,14,1,0.052777778,Intact Male,14,1,Return to Owner
Dog,Normal,Stray,Neutered Male,9,1,0.054861111,Neutered Male,9,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,0.1125,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,0.131944444,Neutered Male,12,1,Return to Owner
Dog,Injured,Public Assist,Neutered Male,12,1,0.069444444,Neutered Male,12,1,Euthanasia
Dog,Normal,Stray,Spayed Female,10,1,1.133333333,Spayed Female,10,1,Return to Owner
Dog,Aged,Stray,Spayed Female,14,1,1.549305556,Spayed Female,14,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,12,1,9.265972222,Neutered Male,12,1,Euthanasia
Dog,Normal,Stray,Spayed Female,14,1,0.807638889,Spayed Female,14,1,Return to Owner
Dog,Normal,Stray,Spayed Female,11,1,2.910416667,Spayed Female,11,1,Return to Owner
Dog,Normal,Stray,Spayed Female,11,2,1.036111111,Spayed Female,11,2,Return to Owner
Dog,Aged,Euthanasia Request,Neutered Male,14,1,0.222222222,Neutered Male,14,1,Euthanasia
Dog,Normal,Owner Surrender,Neutered Male,16,1,27.95486111,Neutered Male,16,1,Adoption
Dog,Normal,Stray,Neutered Male,13,2,0.079861111,Neutered Male,13,2,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,12,1,90.37847222,Neutered Male,13,1,Relocate
Dog,Normal,Owner Surrender,Spayed Female,11,1,26.98472222,Spayed Female,11,1,Adoption
Dog,Normal,Stray,Spayed Female,11,1,0.432638889,Spayed Female,11,1,Return to Owner
Dog,Injured,Stray,Spayed Female,12,1,0.713194444,Spayed Female,12,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,9,1,58.03819444,Neutered Male,9,1,Adoption
Cat,Normal,Owner Surrender,Neutered Male,9,1,8.986111111,Neutered Male,9,1,Transfer
Dog,Aged,Stray,Spayed Female,13,1,2.274305556,Spayed Female,13,1,Return to Owner
Dog,Normal,Stray,Spayed Female,14,1,2.95,Spayed Female,14,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,13,1,38.85,Neutered Male,13,1,Adoption
Dog,Normal,Stray,Spayed Female,10,1,0.4875,Spayed Female,10,1,Return to Owner
Dog,Normal,Stray,Spayed Female,10,2,3.049305556,Spayed Female,10,2,Return to Owner
Dog,Normal,Public Assist,Spayed Female,9,1,6.954166667,Spayed Female,10,1,Died
Cat,Sick,Stray,Intact Male,11,1,3.929861111,Intact Male,11,1,Transfer
Cat,Normal,Stray,Intact Male,10,2,1.938888889,Intact Male,10,2,Return to Owner
Dog,Sick,Euthanasia Request,Spayed Female,11,1,0.022916667,Spayed Female,11,1,Euthanasia
Dog,Normal,Stray,Spayed Female,13,1,0.057638889,Spayed Female,13,1,Return to Owner
Dog,Normal,Stray,Spayed Female,13,2,0.242361111,Spayed Female,13,2,Return to Owner
Dog,Normal,Stray,Spayed Female,11,1,5.331944444,Spayed Female,11,1,Adoption
Cat,Normal,Stray,Spayed Female,14,1,3.958333333,Spayed Female,14,1,Relocate
Dog,Normal,Owner Surrender,Neutered Male,13,1,2.311805556,Neutered Male,13,1,Relocate
Dog,Normal,Public Assist,Neutered Male,11,1,10.52569444,Neutered Male,11,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,11,1,7.008333333,Spayed Female,11,1,Return to Owner
Dog,Aged,Stray,Spayed Female,16,1,2.476388889,Spayed Female,16,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,13,1,10.99513889,Spayed Female,13,1,Missing
Cat,Normal,Owner Surrender,Neutered Male,13,1,10.98958333,Neutered Male,13,1,Transfer
Cat,Normal,Stray,Spayed Female,13,1,168.1673611,Spayed Female,13,1,Adoption
Cat,Normal,Stray,Neutered Male,14,1,78.05277778,Neutered Male,14,1,Transfer
Dog,Normal,Public Assist,Spayed Female,13,1,2.609027778,Spayed Female,13,1,Return to Owner
Cat,Normal,Stray,Spayed Female,13,1,11.83055556,Spayed Female,13,1,Rto-Adopt
Dog,Aged,Euthanasia Request,Neutered Male,11,1,7.004861111,Neutered Male,11,1,Died
Dog,Injured,Stray,Neutered Male,14,1,0.904861111,Neutered Male,14,1,Return to Owner
Cat,Normal,Owner Surrender,Neutered Male,10,1,42.01319444,Neutered Male,10,1,Adoption
Cat,Normal,Owner Surrender,Spayed Female,9,1,32.00972222,Spayed Female,10,1,Adoption
Dog,Normal,Stray,Spayed Female,11,1,3.143055556,Spayed Female,11,1,Transfer
Dog,Normal,Stray,Neutered Male,13,1,0.995833333,Neutered Male,13,1,Return to Owner
Dog,Normal,Stray,Spayed Female,12,1,0.695138889,Spayed Female,12,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,9,1,28.16666667,Neutered Male,9,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,11,1,1.152777778,Neutered Male,11,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,11,2,9.204166667,Neutered Male,11,2,Adoption
Dog,Normal,Stray,Spayed Female,10,1,1.013194444,Spayed Female,10,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,12,1,3.070138889,Neutered Male,12,1,Transfer
Dog,Normal,Stray,Neutered Male,11,1,0.182638889,Neutered Male,11,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,11,1,6.276388889,Neutered Male,11,1,Return to Owner
Dog,Normal,Stray,Neutered Male,13,1,0.979166667,Neutered Male,13,1,Euthanasia
Dog,Normal,Public Assist,Neutered Male,12,1,20.99097222,Neutered Male,12,1,Transfer
Dog,Normal,Stray,Neutered Male,12,1,0.760416667,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,0.275,Neutered Male,12,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,12,2,11.25208333,Neutered Male,12,2,Transfer
Dog,Sick,Owner Surrender,Spayed Female,11,1,348.9284722,Spayed Female,12,1,Adoption
Dog,Normal,Public Assist,Spayed Female,9,1,6.704861111,Spayed Female,9,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,0.761111111,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,2,0.065972222,Neutered Male,10,2,Return to Owner
Dog,Normal,Stray,Neutered Male,11,1,0.074305556,Neutered Male,11,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,10,1,4.1625,Neutered Male,10,1,Transfer
Dog,Aged,Stray,Spayed Female,16,1,0.038194444,Spayed Female,16,1,Return to Owner
Dog,Sick,Owner Surrender,Neutered Male,11,1,0.167361111,Neutered Male,11,1,Euthanasia
Dog,Normal,Owner Surrender,Spayed Female,16,1,1.895138889,Spayed Female,16,1,Relocate
Dog,Normal,Stray,Neutered Male,10,1,15.73958333,Neutered Male,10,1,Missing
Dog,Aged,Stray,Spayed Female,13,1,0.226388889,Spayed Female,13,1,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,5.105555556,Spayed Female,10,1,Transfer
Dog,Normal,Stray,Neutered Male,12,1,0.103472222,Neutered Male,12,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,10,1,291.7784722,Spayed Female,10,1,Adoption
Dog,Normal,Stray,Spayed Female,9,1,4.927083333,Spayed Female,9,1,Return to Owner
Cat,Normal,Public Assist,Neutered Male,10,1,64.84166667,Neutered Male,11,1,Missing
Dog,Normal,Stray,Neutered Male,13,1,0.131944444,Neutered Male,13,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,0.131944444,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Spayed Female,14,1,0.050694444,Spayed Female,14,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,5,1,7.189583333,Spayed Female,5,1,Died
Dog,Normal,Owner Surrender,Spayed Female,9,1,19.06527778,Spayed Female,9,1,Adoption
Dog,Aged,Stray,Neutered Male,13,1,1.065972222,Neutered Male,13,1,Return to Owner
Dog,Normal,Stray,Spayed Female,11,1,0.186805556,Spayed Female,11,1,Return to Owner
Dog,Normal,Stray,Spayed Female,13,1,0.257638889,Spayed Female,13,1,Return to Owner
Dog,Normal,Stray,Spayed Female,13,1,0.876388889,Spayed Female,13,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,9,1,87.71180556,Neutered Male,9,1,Relocate
Dog,Normal,Owner Surrender,Intact Male,9,2,38.10555556,Neutered Male,9,2,Adoption
Dog,Aged,Euthanasia Request,Intact Female,10,1,0.047222222,Intact Female,10,1,Euthanasia
Dog,Normal,Stray,Spayed Female,10,1,2.389583333,Spayed Female,10,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,15,1,16.20486111,Spayed Female,15,1,Adoption
Dog,Normal,Stray,Intact Male,10,1,2.049305556,Intact Male,10,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,10,1,10.99791667,Spayed Female,11,1,Return to Owner
Dog,Normal,Euthanasia Request,Neutered Male,9,1,2.072916667,Neutered Male,9,1,Euthanasia
Dog,Normal,Stray,Spayed Female,12,1,201.5979167,Spayed Female,13,1,Adoption
Dog,Normal,Euthanasia Request,Spayed Female,12,1,0.8125,Spayed Female,12,1,Euthanasia
Dog,Normal,Stray,Spayed Female,14,1,0.211805556,Spayed Female,14,1,Return to Owner
Dog,Sick,Stray,Neutered Male,13,1,9.203472222,Neutered Male,13,1,Transfer
Dog,Normal,Stray,Neutered Male,13,2,5.0625,Neutered Male,13,2,Rto-Adopt
Dog,Normal,Owner Surrender,Intact Male,11,1,3.022222222,Intact Male,11,1,Transfer
Dog,Normal,Stray,Spayed Female,10,1,0.115972222,Spayed Female,10,1,Return to Owner
Cat,Normal,Owner Surrender,Neutered Male,14,1,30.04791667,Neutered Male,14,1,Euthanasia
Dog,Normal,Stray,Neutered Male,12,1,0.228472222,Neutered Male,12,1,Return to Owner
Cat,Injured,Stray,Neutered Male,9,1,12.69375,Neutered Male,9,1,Return to Owner
Cat,Normal,Stray,Neutered Male,9,1,14.93611111,Neutered Male,9,1,Adoption
Dog,Normal,Stray,Neutered Male,10,1,0.03125,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,0.706944444,Neutered Male,10,1,Return to Owner
Cat,Normal,Owner Surrender,Neutered Male,10,1,9.147222222,Neutered Male,10,1,Adoption
Dog,Aged,Owner Surrender,Neutered Male,10,1,12.20208333,Neutered Male,10,1,Transfer
Dog,Normal,Stray,Spayed Female,9,1,10.69166667,Spayed Female,9,1,Return to Owner
Dog,Sick,Stray,Spayed Female,10,1,1.760416667,Spayed Female,10,1,Return to Owner
Dog,Sick,Stray,Neutered Male,10,1,1.129166667,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,2.111805556,Neutered Male,12,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,9,1,7.004166667,Spayed Female,9,1,Adoption
Dog,Normal,Owner Surrender,Spayed Female,9,2,3.869444444,Spayed Female,9,2,Adoption
Dog,Normal,Stray,Neutered Male,11,1,0.097916667,Neutered Male,11,1,Return to Owner
Dog,Normal,Stray,Spayed Female,11,1,3.054861111,Spayed Female,11,1,Return to Owner
Dog,Normal,Stray,Spayed Female,14,1,0.214583333,Spayed Female,14,1,Return to Owner
Dog,Normal,Stray,Neutered Male,8,1,0.163194444,Neutered Male,8,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,0.152083333,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Spayed Female,9,1,0.792361111,Spayed Female,9,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,10,1,6.925,Neutered Male,10,1,Return to Owner
Dog,Injured,Stray,Spayed Female,13,1,122.8791667,Spayed Female,13,1,Adoption
Dog,Injured,Stray,Neutered Male,15,1,0.081944444,Neutered Male,15,1,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,0.177083333,Spayed Female,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,14,1,3.922222222,Neutered Male,14,1,Transfer
Dog,Normal,Public Assist,Neutered Male,13,1,10.72638889,Neutered Male,13,1,Adoption
Dog,Normal,Owner Surrender,Spayed Female,12,1,107.0458333,Spayed Female,12,1,Relocate
Dog,Normal,Stray,Spayed Female,16,1,0.075,Spayed Female,16,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,8,1,3.89375,Spayed Female,8,1,Return to Owner
Dog,Injured,Stray,Spayed Female,12,1,1.629861111,Spayed Female,12,1,Transfer
Dog,Normal,Public Assist,Neutered Male,11,1,10.09791667,Neutered Male,11,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,12,1,2.039583333,Spayed Female,12,1,Return to Owner
Dog,Aged,Stray,Neutered Male,11,1,5.289583333,Neutered Male,11,1,Return to Owner
Dog,Sick,Owner Surrender,Intact Female,11,1,1.984027778,Intact Female,11,1,Transfer
Cat,Normal,Owner Surrender,Spayed Female,12,1,205.9201389,Spayed Female,12,1,Rto-Adopt
Cat,Normal,Owner Surrender,Spayed Female,9,1,6.225694444,Spayed Female,9,1,Adoption
Dog,Normal,Public Assist,Neutered Male,9,1,10.75347222,Neutered Male,9,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,12,1,15.08194444,Neutered Male,12,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,10,1,3.848611111,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,0.143055556,Spayed Female,10,1,Return to Owner
Dog,Normal,Stray,Spayed Female,9,1,0.945833333,Spayed Female,9,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,11,1,22.09444444,Neutered Male,11,1,Transfer
Dog,Normal,Owner Surrender,Neutered Male,13,1,6.204861111,Neutered Male,13,1,Adoption
Dog,Other,Stray,Spayed Female,9,1,2.980555556,Spayed Female,9,1,Return to Owner
Dog,Injured,Stray,Spayed Female,10,1,0.498611111,Spayed Female,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,0.2875,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,2,1.154166667,Neutered Male,12,2,Return to Owner
Dog,Aged,Stray,Neutered Male,11,1,0.775694444,Neutered Male,11,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,11,1,66.07291667,Neutered Male,11,1,Return to Owner
Cat,Normal,Stray,Spayed Female,11,1,137.7875,Spayed Female,11,1,Adoption
Dog,Normal,Public Assist,Neutered Male,10,1,6.933333333,Neutered Male,10,1,Return to Owner
Cat,Normal,Stray,Neutered Male,12,1,4.166666667,Neutered Male,12,1,Adoption
Dog,Normal,Stray,Spayed Female,14,1,1.099305556,Spayed Female,14,1,Return to Owner
Dog,Normal,Stray,Spayed Female,13,1,3,Spayed Female,13,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,11,1,98.025,Spayed Female,11,1,Transfer
Dog,Normal,Stray,Neutered Male,10,1,0.122222222,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,11,1,1.154166667,Neutered Male,11,1,Return to Owner
Cat,Injured,Stray,Neutered Male,17,1,0.141666667,Neutered Male,17,1,Euthanasia
Dog,Normal,Stray,Neutered Male,11,1,119.9652778,Neutered Male,11,1,Transfer
Dog,Normal,Stray,Spayed Female,7,1,1.085416667,Spayed Female,7,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,10,1,7.9625,Spayed Female,10,1,Transfer
Dog,Normal,Stray,Neutered Male,7,1,1.309722222,Neutered Male,7,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,11,1,6.064583333,Spayed Female,11,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,13,1,10.02777778,Neutered Male,13,1,Transfer
Dog,Normal,Stray,Spayed Female,10,1,1.173611111,Spayed Female,10,1,Return to Owner
Dog,Aged,Owner Surrender,Neutered Male,11,1,0.946527778,Neutered Male,11,1,Adoption
Dog,Normal,Owner Surrender,Spayed Female,8,1,2.971527778,Spayed Female,8,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,0.086111111,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,11,2,0.029166667,Neutered Male,11,2,Return to Owner
Dog,Normal,Stray,Neutered Male,9,3,3.39375,Neutered Male,9,3,Return to Owner
Dog,Injured,Stray,Neutered Male,12,1,2.152083333,Neutered Male,12,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,10,1,0.238194444,Spayed Female,10,1,Return to Owner
